Município,IVAF,IPA,IPOPR,IPROPR,IFAREA,IFAMB,IFIGUAL
423 - Ceu Azul,"0,001467669878","0,004313563061","0,001726688401","0,001996935344","0,005883790902","0,01610692224","0,002506265664"
312 - Chopinzinho,"0,001621674768","0,00485985732","0,004681316644","0,006034636922","0,004796258693","0,00856675123","0,002506265664"
833 - Cianorte,"0,007179411048","0,006581094142","0,00501098683","0,005897884546","0,004056244482","0,00557563627","0,002506265664"
825 - Cidade Gaucha,"0,001325434789","0,001191706403","0,001231203903","0,0009081760389","0,002017515588",0,"0,002506265664"
311 - Clevelandia,"0,001224981778","0,002668905011","0,001620280004","0,002270440097","0,003512103142","0,00997495329","0,002506265664"
103 - Colombo,"0,009279970464","0,003420815711","0,006374058808","0,004093805117","0,0009864187805","0,004383439663","0,002506265664"
623 - Colorado,"0,002332359886","0,00211276305","0,0008747684149","0,001756742067","0,002020017157",0,"0,002506265664"
530 - Congonhinhas,"0,0004851017972","0,001352702525","0,002248938201","0,002598295154","0,00268063156","0,004373134485","0,002506265664"
523 - Conselheiro Mairinck,"0,0002222810348","0,001268929049","0,0007318025321","0,0004593477262","0,001023141817",0,"0,002506265664"
124 - Contenda,"0,0007514199349","0,001865161025","0,004347729584","0,003583613559","0,001479928359","0,00008962134126","0,002506265664"
409 - Corbelia,"0,001895224658","0,005873374273","0,001524969416","0,002841994902","0,002643658367","0,00000284082414","0,002506265664"
534 - Cornelio Procopio,"0,002570774575","0,002397757955","0,001710368095","0,001989922402","0,00318034503","0,006420195852","0,002506265664"
349 - Coronel Domingos Soares,"0,0006074638353","0,002133930078","0,003580675191","0,001753235596","0,007803094881",0,"0,002506265664"
313 - Coronel Vivida,"0,001625986136","0,003149844066","0,004115328423","0,005435030349","0,00341229053","0,0008091090504","0,002506265664"
845 - Corumbatai do Sul,"0,0001732849144","0,0006011648674","0,001224022969","0,001600704099","0,000839126384","0,002585803354","0,002506265664"
305 - Cruz Machado,"0,001351411442","0,004381421514","0,00782264919","0,007691444561","0,00738968555","0,001587536509","0,002506265664"
341 - Cruzeiro do Iguacu,"0,0007364078485","0,002231366651","0,001080404274","0,0007959689607","0,000801152563",0,"0,002506265664"
826 - Cruzeiro do Oeste,"0,001594777725","0,002525633588","0,001794580875","0,002933163153","0,003879583663","0,0005001669065","0,002506265664"
717 - Cruzeiro do Sul,"0,0003340024104","0,001497694594","0,0007566093976","0,00110278519","0,001294562079","0,0001178978775","0,002506265664"
662 - Cruzmaltina,"0,0004409941579","0,001048188513","0,001083015523","0,001197459912","0,001531860936",0,"0,002506265664"
101 - Curitiba,"0,1541793098","0,0001310690143",0,"0,001115057839","0,002174113822","0,009423594674","0,002506265664"
528 - Curiuva,"0,0003943165352","0,003433234806","0,002839733287","0,002508880138","0,002876554463","0,0007843018275","0,002506265664"
443 - Diamante D'oeste,"0,0002501142796","0,001421526983","0,001609835008","0,001300900812","0,001541116743","0,004291787296","0,002506265664"
735 - Diamante do Norte,"0,0007100974278","0,0006985673771","0,0006299638212","0,0009520069288","0,001211459949","0,009215290334","0,002506265664"
450 - Diamante do Sul,"0,0001184883093","0,0008056441826","0,001374169786","0,0008275272015","0,001736889551",0,"0,002506265664"
323 - Dois Vizinhos,"0,004706884386","0,01046016826","0,005277334228","0,00564541862","0,002098466368","0,0001072367765","0,002506265664"
842 - Douradina,"0,0008129701123","0,00136583181","0,00144206226","0,001374536707","0,002107071766",0,"0,002506265664"
707 - Doutor Camargo,"0,0003879228462","0,0009096446993","0,0004693720077","0,001642781754","0,0005901201824",0,"0,002506265664"
139 - Doutor Ulysses,"0,00007233218904","0,001429352714","0,003132193175","0,001030902531","0,003906350454",0,"0,002506265664"
328 - Eneas Marques,"0,0007283221732","0,003417766571","0,002596234318","0,002600048389","0,0009722098673",0,"0,002506265664"
804 - Engenheiro Beltrao,"0,001041310523","0,00260123206","0,001062778343","0,002817449603","0,002352475708","0,0003601257498","0,002506265664"
451 - Entre Rios do Oeste,"0,0007774054556","0,002943482066","0,0008382109289","0,001009863703","0,0006009769929",0,"0,002506265664"
854 - Esperanca Nova,"0,0001743356755","0,0008268663815","0,0007951253204","0,001160641965","0,0007161492404",0,"0,002506265664"
470 - Espigao Alto do Iguacu,"0,0003108946861","0,001334063049","0,001978673929","0,001732196769","0,001631373361","0,005240599238","0,002506265664"
849 - Farol,"0,0005121088733","0,001790682388","0,0009491890113","0,0009730457559","0,001448758806",0,"0,002506265664"
640 - Faxinal,"0,001203451372","0,002076242224","0,002333803793","0,002054792119","0,003580145825","0,0001083583744","0,002506265664"
135 - Fazenda Rio Grande,"0,00351388614","0,0004887519737","0,003751712","0,0005522692128","0,000584216479","0,0006674647309","0,002506265664"
806 - Fenix,"0,0004080844104","0,001105923371","0,0005268194857","0,001109798132","0,0011699339","0,008811361061","0,002506265664"
224 - Fernandes Pinheiro,"0,0004972790375","0,002759362291","0,002505493415","0,002175765375","0,002024770138","0,0139638753","0,002506265664"
539 - Figueira,"0,0003008312643","0,0004700900067","0,0007846803244","0,0005768145112","0,000648857028",0,"0,002506265664"
342 - Flor da Serra do Sul,"0,0003159575235","0,001622446894","0,002011967354","0,002547451321","0,001247782734","0,009490881628","0,002506265664"
713 - Florai,"0,0005660629137","0,001571792982","0,0003773254804","0,001132590195","0,0009495956814",0,"0,002506265664"
